id,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,high_education_ind,clm,numclaims,claimcst0
64,1.43,0.274211824,UTE,3,F,C,4,dissel,174,83.0,black,M,1,weekday,6am - 12pm,12,659.325489290582,0.0,0,0,0.0
65,3.18,0.467235004,UTE,2,F,F,2,petrol,189,85.0,white,M,0,weekend,6am - 12pm,12,652.8846131707256,0.0,0,0,0.0
66,3.52,0.499662175,PANVN,1,M,B,2,petrol,68,99.0,white,M,1,weekday,6am - 12pm,6,679.9151787840185,1.0,0,0,0.0
67,0.46,0.640479828,HBACK,4,F,B,6,petrol,132,75.0,gray,M,1,weekend,12pm - 6pm,12,646.4445192642446,0.0,0,0,0.0
68,2.17,0.849613362,UTE,3,M,C,3,petrol,221,66.0,brown,M,0,weekend,12pm - 6pm,12,655.8045105032764,0.0,0,0,0.0
69,2.37,0.102034372,STNWG,1,M,C,3,petrol,122,94.0,gray,M,1,weekend,12pm - 6pm,12,643.8079499171896,0.0,0,0,0.0
70,5.31,0.1552855095,SEDAN,3,M,A,5,petrol,198,61.0,black,S,1,weekday,12pm - 6pm,6,652.6702306629007,0.0,0,0,0.0
71,3.08,0.404364209,UTE,1,M,E,4,hybrid,217,26.0,blue,S,1,weekday,12pm - 6pm,12,660.0758130255819,0.0,0,0,0.0
72,2.02,0.06194788,SEDAN,2,M,C,2,petrol,129,57.0,blue,S,1,weekend,12pm - 6pm,12,643.3474576423113,0.0,0,0,0.0
73,0.86,0.286591493,HBACK,4,F,B,4,dissel,94,72.0,silver,M,0,weekend,12pm - 6pm,6,632.1927911543522,0.0,0,0,0.0
74,3.49,0.4933903175,STNWG,3,M,E,4,petrol,114,62.0,gray,S,0,weekend,12pm - 6pm,6,638.5705014495369,1.0,0,0,0.0
75,2.3,0.10789545,PANVN,3,M,F,3,dissel,117,50.0,white,S,0,weekday,6am - 12pm,6,666.228716099117,0.0,0,0,0.0
76,4.35,0.914533296,STNWG,2,M,C,1,electric,206,65.0,black,M,0,weekday,6am - 12pm,12,637.6668846213821,1.0,0,0,0.0
77,1.95,0.611986064,MIBUS,4,M,B,4,hybrid,273,70.0,white,M,0,weekday,6pm - 12am,12,661.2012712840025,0.0,0,0,0.0
78,2.53,0.27379667,SEDAN,1,F,C,4,petrol,199,54.0,white,S,0,weekday,6pm - 12am,12,651.0499082563863,0.0,0,0,0.0
79,0.86,0.256491872,HBACK,3,F,C,4,petrol,144,35.0,gray,S,0,weekday,12pm - 6pm,6,646.2073414815217,0.0,1,1,212.4515599
80,0.86,0.558059935,HBACK,3,F,A,3,petrol,124,59.0,gray,S,1,weekday,6am - 12pm,12,660.2382818915196,0.0,0,0,0.0
81,2.81,0.400945069,STNWG,3,M,B,1,dissel,193,91.0,gray,M,0,weekday,6am - 12pm,6,629.3223748672917,0.0,0,0,0.0
82,2.2,0.838468538,SEDAN,3,F,C,5,electric,148,71.0,white,M,1,weekday,12pm - 6pm,12,635.6076198497433,0.0,0,0,0.0
83,0.39,0.195183394,SEDAN,4,M,B,5,petrol,184,59.0,gray,M,1,weekday,6am - 12pm,6,653.0840406757745,0.0,0,0,0.0
84,1.58,0.0927300355,SEDAN,2,F,B,4,petrol,139,65.0,gray,S,1,weekend,6am - 12pm,6,675.5665115123636,0.0,0,0,0.0
85,1.19,0.55300358,UTE,4,M,F,2,petrol,244,84.0,gray,S,1,weekend,12pm - 6pm,12,652.4805180712794,0.0,0,0,0.0
86,1.74,0.878268142,HDTOP,3,F,A,1,dissel,229,68.0,gray,S,0,weekday,6am - 12pm,12,639.7359854226451,1.0,1,2,2463.345293
87,4.14,0.491046762,UTE,1,M,B,4,petrol,175,82.0,black,S,1,weekday,6am - 12pm,12,648.6187480300943,0.0,0,0,0.0
88,3.15,0.659426044,UTE,1,M,F,4,hybrid,240,75.0,gray,M,1,weekend,12pm - 6pm,12,659.2113009087891,0.0,1,1,33895.13576
89,1.94,0.241099334,UTE,3,M,C,2,hybrid,197,90.0,red,S,1,weekday,6pm - 12am,6,646.907305780245,0.0,0,0,0.0
90,4.95,0.357566929,STNWG,2,F,E,1,petrol,116,42.0,gray,M,1,weekday,12pm - 6pm,6,649.2831445851001,0.0,0,0,0.0
91,1.22,0.267771314,HBACK,2,F,A,2,electric,78,86.0,black,S,1,weekend,6pm - 12am,12,654.9014566229771,0.0,0,0,0.0
92,1.04,0.0434509005,HBACK,3,M,B,4,dissel,93,72.0,brown,M,1,weekday,6am - 12pm,6,671.8912863416748,0.0,0,0,0.0
93,0.95,0.420663999,HBACK,3,F,A,3,hybrid,93,90.0,gray,S,1,weekend,12pm - 6pm,12,667.5241432767787,0.0,0,0,0.0
94,1.22,0.2946611435,SEDAN,3,F,B,5,electric,100,96.0,white,M,0,weekday,6am - 12pm,6,656.1766849279622,0.0,1,1,232.366733
95,0.85,0.28694288,HBACK,3,F,D,4,petrol,123,86.0,gray,S,1,weekday,6am - 12pm,12,653.8989357130694,0.0,0,0,0.0
96,1.7,0.37347324,HBACK,1,F,C,1,petrol,131,80.0,white,M,1,weekend,12pm - 6pm,12,665.2619442340655,0.0,0,0,0.0
97,1.62,0.953861326,MIBUS,4,F,A,4,dissel,217,72.0,white,S,1,weekday,12pm - 6pm,12,651.0559664895383,1.0,0,0,0.0
98,1.08,0.242169293,SEDAN,3,M,A,5,electric,180,58.0,white,S,0,weekday,12pm - 6pm,12,648.1435270355532,0.0,0,0,0.0
99,4.68,0.3516404,STNWG,1,M,E,2,dissel,162,74.0,gray,S,1,weekday,6am - 12pm,12,646.1269460698862,0.0,0,0,0.0
100,1.75,0.498247841,SEDAN,2,F,E,3,electric,192,72.0,black,M,0,weekday,12pm - 6pm,12,645.9450213510626,0.0,1,1,3319.409497
101,1.66,0.734062333,HBACK,1,M,A,5,petrol,137,66.0,black,M,0,weekday,6am - 12pm,12,649.44699696156,0.0,0,0,0.0
102,1.24,0.28230263,SEDAN,3,F,B,4,petrol,192,83.0,white,S,0,weekday,6pm - 12am,12,655.5263657028061,0.0,0,0,0.0
103,2.66,0.178130432,SEDAN,1,F,D,2,petrol,115,87.0,black,S,1,weekday,6am - 12pm,12,643.808949216265,0.0,0,0,0.0
104,1.39,0.075951321,HBACK,1,F,A,4,hybrid,71,99.0,blue,S,1,weekend,12pm - 6pm,12,647.1084069189268,0.0,0,0,0.0
105,1.01,0.617940968,STNWG,3,F,C,4,petrol,150,59.0,red,M,1,weekday,6am - 12pm,12,670.4677104789347,0.0,0,0,0.0
106,0.89,0.161341604,HBACK,3,F,B,4,dissel,117,60.0,white,M,0,weekend,6am - 12pm,6,646.2630991966623,0.0,0,0,0.0
107,1.74,0.383735569,SEDAN,3,F,A,2,petrol,161,98.0,silver,S,1,weekday,6pm - 12am,12,631.8534951681913,0.0,0,0,0.0
108,1.55,0.695639871,HDTOP,4,F,E,3,dissel,227,69.0,black,S,0,weekday,6pm - 12am,12,659.0212970262842,0.0,0,0,0.0
109,1.63,0.526352688,UTE,3,F,F,3,petrol,228,61.0,gray,S,1,weekday,6am - 12pm,12,644.4358870037813,0.0,0,0,0.0
110,1.61,0.655383565,HBACK,1,F,A,2,petrol,93,68.0,white,S,1,weekday,6am - 12pm,12,656.0679043338278,0.0,0,0,0.0
111,2.58,0.233360458,STNWG,3,F,C,3,dissel,169,58.0,black,M,1,weekday,12pm - 6pm,12,641.6461769762813,0.0,0,0,0.0
112,1.21,0.469174288,SEDAN,3,F,A,3,petrol,196,62.0,white,M,1,weekday,12pm - 6pm,12,653.4732335765212,0.0,0,0,0.0
113,1.41,0.687421256,SEDAN,3,F,E,2,petrol,106,98.0,red,S,1,weekday,12pm - 6pm,12,647.4595526760335,0.0,0,0,0.0
114,0.83,0.4902870395,HBACK,3,F,B,2,petrol,94,71.0,green,M,0,weekday,12pm - 6pm,6,638.9637474184354,1.0,0,0,0.0
115,3.78,0.384885171,STNWG,1,F,C,3,dissel,144,68.0,black,S,1,weekday,6am - 12pm,6,649.0500768252446,0.0,0,0,0.0
116,3.16,0.620170361,STNWG,3,M,C,5,petrol,181,79.0,red,M,1,weekday,6pm - 12am,12,644.5446739895538,0.0,0,0,0.0
117,5.08,0.2583689675,STNWG,1,M,D,2,petrol,159,98.0,brown,S,1,weekday,6pm - 12am,6,674.0114175291997,0.0,1,1,416.201018
118,1.22,0.179221419,SEDAN,3,F,C,6,dissel,153,58.0,green,M,0,weekday,6am - 12pm,12,641.8549176145956,0.0,0,0,0.0
119,1.37,0.126293906,UTE,4,M,E,4,petrol,151,85.0,gray,S,1,weekday,12pm - 6pm,12,649.2349686088218,0.0,0,0,0.0
120,1.95,0.283139953,SEDAN,3,M,B,1,petrol,191,99.0,white,S,0,weekday,6am - 12pm,12,642.5975073884819,0.0,0,0,0.0
121,1.02,0.066075015,HBACK,4,F,C,4,petrol,108,45.0,black,M,1,weekend,6am - 12pm,12,642.510512858743,0.0,1,1,207.323644
122,1.6,0.846370096,HBACK,2,F,B,5,petrol,96,93.0,blue,S,1,weekday,6am - 12pm,12,642.0637307955112,0.0,0,0,0.0
123,1.63,0.080680679,UTE,4,M,F,2,petrol,194,40.0,black,S,1,weekday,12pm - 6pm,12,699.814456789106,0.0,0,0,0.0
124,1.4,0.078239071,STNWG,4,M,B,5,petrol,147,43.0,white,S,1,weekday,12pm - 6pm,6,645.7783806536407,0.0,0,0,0.0
125,1.71,0.447695234,HDTOP,3,M,A,4,petrol,238,96.0,black,S,1,weekday,6am - 12pm,6,636.848713168907,1.0,0,0,0.0
126,1.25,0.897881517,HBACK,2,M,C,1,dissel,149,75.0,blue,M,1,weekday,6am - 12pm,12,653.5466342041645,1.0,0,0,0.0
127,0.39,0.049192506,HBACK,4,F,C,4,petrol,144,87.0,blue,M,0,weekday,12pm - 6pm,12,642.1436852031476,0.0,0,0,0.0
128,4.68,0.279481676,TRUCK,1,M,B,2,dissel,214,76.0,silver,M,0,weekday,6am - 12pm,12,649.1719076337781,0.0,0,0,0.0
129,2.53,0.311761281,SEDAN,1,M,A,4,electric,152,70.0,white,S,0,weekday,12pm - 6pm,12,646.0674441622948,0.0,0,0,0.0
130,1.48,0.3773773315,HBACK,1,F,A,4,petrol,149,99.0,black,S,1,weekday,12pm - 6pm,6,644.4709457849857,0.0,0,0,0.0
131,1.37,0.996823034,SEDAN,2,M,C,4,petrol,172,75.0,blue,M,0,weekday,12pm - 6pm,12,662.005398759283,1.0,0,0,0.0
132,5.17,0.05454124,STNWG,1,M,F,2,dissel,148,99.0,black,S,1,weekend,6am - 12pm,12,645.926285664403,0.0,0,0,0.0
133,1.92,0.305954317,SEDAN,1,F,F,3,electric,130,58.0,blue,S,1,weekday,6am - 12pm,12,643.3647843944663,0.0,0,0,0.0
134,2.56,0.268014453,STNWG,2,F,A,5,petrol,133,82.0,gray,S,1,weekend,12pm - 6pm,12,641.0419755600643,0.0,0,0,0.0
135,2.1,0.19550992,SEDAN,2,M,A,3,petrol,110,57.0,red,M,1,weekend,12pm - 6pm,12,655.1559399074524,0.0,0,0,0.0
136,1.52,0.441791368,SEDAN,3,F,E,6,hybrid,108,62.0,gray,S,0,weekday,12am - 6 am,12,665.263694733002,0.0,0,0,0.0
137,1.21,0.084068129,HBACK,2,F,D,2,petrol,79,36.0,black,M,1,weekday,12pm - 6pm,12,646.9922544148318,0.0,0,0,0.0
138,1.9,0.090934868,HBACK,2,F,E,1,hybrid,139,87.0,white,S,1,weekend,6am - 12pm,12,662.1937740421704,0.0,0,0,0.0
139,2.13,0.220804641,STNWG,4,F,D,3,dissel,155,84.0,brown,M,1,weekday,12pm - 6pm,12,678.065900958343,0.0,0,0,0.0
140,0.76,0.256878001,HBACK,3,M,B,2,petrol,71,26.0,silver,M,1,weekday,6am - 12pm,12,646.9593846692917,0.0,0,0,0.0
141,1.33,0.595963901,SEDAN,3,F,C,6,petrol,165,44.0,blue,S,1,weekday,12pm - 6pm,12,649.3495276264972,0.0,0,0,0.0
142,1.17,0.201658734,HBACK,3,F,A,3,petrol,94,62.0,black,S,1,weekday,12pm - 6pm,12,649.9536471207512,0.0,0,0,0.0
143,1.31,0.435615766,STNWG,4,M,C,2,petrol,138,73.0,gray,S,0,weekend,12pm - 6pm,12,643.9609508370663,0.0,0,0,0.0
144,2.61,0.2975789745,SEDAN,1,M,A,5,petrol,194,72.0,red,M,1,weekday,6am - 12pm,6,643.63135872443,0.0,0,0,0.0
145,1.78,0.2273277,STNWG,2,F,A,3,dissel,144,68.0,white,S,1,weekday,6am - 12pm,6,645.8869121680036,0.0,0,0,0.0
146,0.32,0.337192932,HBACK,4,F,B,2,hybrid,84,79.0,white,M,0,weekday,6am - 12pm,12,648.5956103004546,0.0,0,0,0.0
147,2.52,0.1556481795,UTE,3,M,A,4,electric,192,99.0,white,M,0,weekday,6am - 12pm,6,644.3431690228234,0.0,0,0,0.0
148,3.96,0.779284637,STNWG,1,F,B,4,petrol,153,99.0,black,M,0,weekday,12pm - 6pm,12,651.4795386041155,0.0,1,1,697.0572741
149,2.03,0.921702952,HBACK,1,F,B,1,petrol,105,90.0,black,S,1,weekday,6am - 12pm,12,650.0427155785001,1.0,0,0,0.0
150,3.81,0.772108858,STNWG,2,F,E,5,dissel,141,80.0,white,M,1,weekend,12pm - 6pm,12,649.9997695959385,0.0,1,1,472.7405809
151,1.39,0.2987119605,HBACK,2,F,C,4,petrol,151,53.0,white,M,1,weekday,6am - 12pm,6,668.1018159096022,0.0,0,0,0.0
152,6.09,0.071577796,CONVT,3,F,A,2,hybrid,282,99.0,gray,M,1,weekend,12pm - 6pm,12,651.2275771390647,0.0,0,0,0.0
153,1.2,0.575496198,SEDAN,3,F,A,5,petrol,129,53.0,black,M,0,weekday,12am - 6 am,12,642.7929928251939,0.0,0,0,0.0
154,0.37,0.159773335,SEDAN,4,M,B,5,petrol,113,61.0,black,M,1,weekday,12pm - 6pm,6,679.9384036719377,0.0,0,0,0.0
155,2.29,0.360639199,UTE,1,M,A,3,electric,245,40.0,gray,S,1,weekday,6am - 12pm,12,644.8933923749852,0.0,0,0,0.0
156,2.67,0.754585979,STNWG,2,M,A,4,petrol,112,80.0,black,S,1,weekday,6am - 12pm,12,650.5721806555251,0.0,1,1,237.0257664
157,2.55,0.877630754,HBACK,3,M,A,3,petrol,111,89.0,white,M,1,weekend,6am - 12pm,12,648.6298341506475,1.0,0,0,0.0
158,1.68,0.2834302505,SEDAN,2,M,C,6,petrol,150,99.0,black,S,1,weekday,6pm - 12am,6,650.5656416507253,0.0,0,0,0.0
159,0.67,0.531035679,UTE,4,F,C,2,dissel,233,82.0,white,S,0,weekday,6am - 12pm,12,640.1133339386024,0.0,0,0,0.0
160,0.92,0.283584799,HBACK,4,F,C,5,electric,94,50.0,silver,M,0,weekday,12pm - 6pm,12,662.6006182376334,0.0,0,0,0.0
161,0.75,0.999363857,SEDAN,4,M,C,5,petrol,105,99.0,green,S,1,weekday,6am - 12pm,12,656.0769215704862,1.0,0,0,0.0
162,1.82,0.566597165,STNWG,3,F,C,4,dissel,125,37.0,silver,S,0,weekday,6am - 12pm,12,646.3137440919207,0.0,0,0,0.0
163,1.14,0.33696502,HDTOP,4,M,A,3,petrol,263,53.0,white,M,1,weekday,12pm - 6pm,12,643.8399779606731,0.0,0,0,0.0
164,1.71,0.810446485,HBACK,2,F,E,6,dissel,84,22.0,white,S,1,weekday,6am - 12pm,12,660.173700538641,0.0,0,0,0.0
165,4.53,0.182801608,STNWG,1,F,E,3,dissel,204,99.0,black,M,0,weekday,6am - 12pm,12,649.5446547557959,0.0,0,0,0.0
166,2.14,0.091240308,UTE,3,M,C,2,petrol,187,83.0,red,S,1,weekend,6am - 12pm,12,655.7982706201625,0.0,0,0,0.0
167,1.73,0.0448431435,STNWG,3,F,F,1,dissel,175,74.0,white,S,1,weekend,6am - 12pm,6,647.517536085834,0.0,0,0,0.0
168,1.19,0.41876031,HBACK,2,M,C,6,petrol,150,75.0,blue,M,1,weekday,12pm - 6pm,6,651.7773404352915,0.0,0,0,0.0
169,1.2,0.3107791995,HBACK,4,M,A,2,petrol,147,97.0,black,S,0,weekend,12pm - 6pm,6,650.7301021082174,0.0,0,0,0.0
170,1.02,0.338352479,HBACK,3,F,C,6,electric,126,75.0,white,M,1,weekday,12am - 6 am,12,644.3476805229718,0.0,0,0,0.0
171,1.04,0.772489355,HBACK,2,F,C,4,dissel,88,92.0,green,M,1,weekend,12pm - 6pm,12,643.0091029942665,0.0,1,1,4283.819489
172,1.92,0.849254829,STNWG,2,F,A,3,petrol,145,42.0,white,M,0,weekday,6am - 12pm,12,647.6559673559266,0.0,0,0,0.0
173,1.61,0.168612196,SEDAN,2,M,B,2,petrol,141,58.0,black,M,1,weekday,12pm - 6pm,12,662.484346653016,0.0,0,0,0.0
174,3.79,0.274474434,UTE,1,M,D,3,petrol,232,73.0,black,M,1,weekday,12pm - 6pm,12,655.1937348452727,0.0,0,0,0.0
175,0.5,0.44586417,STNWG,4,F,C,4,petrol,174,85.0,black,S,0,weekday,12pm - 6pm,12,650.6463380167578,0.0,0,0,0.0
176,3.0,0.976881154,UTE,3,M,F,5,dissel,233,90.0,white,M,0,weekday,12pm - 6pm,12,657.0043130064565,1.0,0,0,0.0
177,1.27,0.4195079475,TRUCK,3,M,A,4,petrol,304,89.0,black,M,1,weekday,6am - 12pm,6,641.3655796987653,0.0,0,0,0.0
178,0.26,0.357071116,UTE,4,M,B,6,petrol,272,73.0,brown,S,0,weekday,12pm - 6pm,12,642.1505610998684,0.0,0,0,0.0
179,1.6,0.387170589,SEDAN,2,F,A,2,petrol,129,25.0,gray,S,0,weekday,6am - 12pm,12,647.1219895541436,0.0,0,0,0.0
180,0.74,0.695654692,HBACK,4,F,C,2,petrol,107,99.0,blue,S,0,weekday,12pm - 6pm,12,634.3647802905842,0.0,0,0,0.0
181,0.38,0.569923055,SEDAN,4,F,C,5,petrol,168,63.0,white,S,0,weekday,12pm - 6pm,12,646.673436019562,0.0,0,0,0.0
