id,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,high_education_ind
27,1.82,0.283163428,SEDAN,2,M,C,4,petrol,200,68,blue,S,1,weekday,12am - 6 am,12,639.2876945,0
28,0.47,0.244729694,HBACK,4,F,A,2,petrol,140,68,black,S,1,weekday,12pm - 6pm,6,644.5297732,0
29,3.34,0.129607084,STNWG,2,M,A,6,dissel,135,99,gray,M,1,weekday,6am - 12pm,6,640.7042115,0
30,1.49,0.249587913,SEDAN,2,F,B,3,hybrid,139,69,white,M,1,weekday,6am - 12pm,12,652.3457034,0
31,1.13,0.684588254,HBACK,2,F,D,2,electric,81,86,gray,M,1,weekday,12pm - 6pm,12,640.0563564,0
32,1.5,0.999326906,SEDAN,2,M,D,4,petrol,138,65,green,S,0,weekend,12pm - 6pm,12,650.6541117,1
33,0.5,0.089181059,HBACK,4,F,A,6,petrol,148,99,green,M,1,weekend,6am - 12pm,12,646.5093714,0
34,3.04,0.311294391,SEDAN,1,F,B,4,petrol,162,72,white,S,1,weekday,6pm - 12am,12,643.8275564,0
35,1.48,0.386107677,UTE,4,M,E,1,petrol,153,92,gray,M,1,weekday,12pm - 6pm,6,637.6999968,0
36,0.93,0.349822218,HBACK,3,F,C,1,petrol,128,84,gray,M,1,weekday,12pm - 6pm,12,643.3584297,0
37,3.08,0.747228917,STNWG,2,F,B,4,petrol,202,59,silver,M,1,weekday,6am - 12pm,12,654.7506741,0
38,2.7,0.607542644,STNWG,4,F,E,5,dissel,105,90,gray,M,1,weekend,6am - 12pm,12,649.147053,0
39,2.16,0.606957249,SEDAN,2,M,D,5,petrol,134,52,yellow,M,1,weekday,6am - 12pm,12,649.4779739,0
40,0.86,0.239092402,UTE,4,M,D,2,petrol,235,61,red,S,0,weekday,12pm - 6pm,6,647.6957925,0
41,3.47,0.411586781,STNWG,1,M,A,5,hybrid,127,61,brown,M,1,weekday,6pm - 12am,12,655.4435195,0
42,1.41,0.204639849,HBACK,1,M,B,6,petrol,108,65,gray,S,1,weekday,6pm - 12am,12,662.0988083,0
43,1.05,0.339264603,SEDAN,3,F,C,2,petrol,150,59,white,M,0,weekday,12pm - 6pm,12,645.8082765,0
44,0.95,0.603676011,HBACK,3,F,A,1,electric,142,65,white,M,1,weekday,12pm - 6pm,12,648.6858095,0
45,1.46,0.477110239,SEDAN,2,F,E,4,petrol,174,67,black,S,1,weekday,6am - 12pm,12,644.4662444,0
46,0.75,0.651799792,SEDAN,4,F,F,3,hybrid,117,69,white,S,1,weekend,6am - 12pm,12,642.4877241,0
47,0.84,0.559845747,HBACK,3,M,C,1,electric,112,92,brown,S,1,weekday,6am - 12pm,12,647.2114415,0
48,1.34,0.999316979,HBACK,2,M,C,6,petrol,90,41,black,M,1,weekday,6pm - 12am,12,643.865744,1
49,2.59,0.330393361,STNWG,3,F,E,2,petrol,145,63,black,M,0,weekday,6am - 12pm,12,651.0674211,0
50,2.74,0.196543203,STNWG,3,M,F,2,petrol,105,99,yellow,S,1,weekend,12pm - 6pm,6,640.1226724,0
51,4.82,0.219575254,TRUCK,1,M,E,2,dissel,390,70,white,M,1,weekend,6am - 12pm,12,655.1035239,0
52,0.82,0.64383869,SEDAN,3,F,B,3,petrol,153,72,white,M,1,weekday,12pm - 6pm,12,663.3648593,0
53,0.47,0.810534361,UTE,4,M,A,3,petrol,274,34,gray,M,0,weekday,6am - 12pm,12,644.6219287,0
54,0.83,0.182766879,HBACK,4,F,A,2,petrol,136,78,brown,M,1,weekday,6am - 12pm,12,641.5125568,0
55,0.76,0.233427136,SEDAN,4,M,E,4,hybrid,152,83,white,M,1,weekday,12pm - 6pm,6,646.5100172,0
56,0.42,0.874267541,SEDAN,4,M,B,5,petrol,153,99,gray,M,1,weekend,6am - 12pm,12,650.781996,1
57,1.37,0.019256636,SEDAN,3,M,B,1,petrol,170,45,gray,M,1,weekday,12pm - 6pm,6,650.0433163,0
58,3.5,0.902192987,STNWG,1,F,B,2,dissel,146,64,blue,M,1,weekday,12pm - 6pm,12,660.1025967,1
59,0.32,0.44598818,HBACK,4,F,C,2,hybrid,84,54,green,S,1,weekday,12pm - 6pm,12,683.1904711,0
60,4.67,0.295981392,STNWG,1,M,C,5,dissel,163,61,silver,M,1,weekend,6am - 12pm,6,637.0828975,0
61,0.41,0.663076656,SEDAN,4,M,E,5,hybrid,105,99,black,M,1,weekend,6am - 12pm,12,643.5301188,0
62,1.13,0.151375949,UTE,3,M,C,4,electric,231,99,gray,M,1,weekday,12pm - 6pm,12,683.3215011,0
63,2.27,0.10688408,SEDAN,1,F,B,4,petrol,106,63,blue,S,1,weekday,6am - 12pm,6,651.5958671,0
64,1.92,0.692071732,HBACK,2,F,B,2,petrol,152,75,black,S,1,weekday,12pm - 6pm,12,638.6320938,0
65,1.05,0.99683173,UTE,4,M,D,2,petrol,253,66,silver,S,0,weekday,12pm - 6pm,12,665.8781,1
66,2.24,0.127599416,UTE,3,M,C,5,dissel,165,94,white,M,1,weekday,6am - 12pm,12,655.6993075,0
67,4.85,0.348668708,STNWG,1,M,A,3,petrol,138,34,black,M,1,weekend,6am - 12pm,6,651.6335085,0
68,1.88,0.966117404,HBACK,2,F,A,6,petrol,100,84,black,M,1,weekday,12pm - 6pm,12,646.4798842,1
69,1.57,0.176873388,SEDAN,2,F,A,2,hybrid,129,19,silver,S,0,weekday,12pm - 6pm,12,666.8699428,0
70,1.44,0.416077126,SEDAN,3,M,A,4,petrol,175,75,black,S,1,weekday,6am - 12pm,12,640.9573151,0
71,1.42,0.285581284,SEDAN,4,M,C,3,hybrid,171,49,red,S,1,weekday,12pm - 6pm,6,648.0607554,0
72,1.6,0.579473242,SEDAN,2,F,A,4,petrol,195,97,gray,S,1,weekday,6am - 12pm,12,636.1617677,0
73,1.24,0.401390446,SEDAN,4,F,C,5,dissel,141,70,yellow,S,1,weekday,6pm - 12am,12,666.3296933,0
74,6.09,0.613019017,STNWG,1,M,B,3,dissel,134,35,white,S,0,weekday,6am - 12pm,12,641.0426227,0
75,2.85,0.334928378,SEDAN,1,M,C,3,petrol,137,77,white,S,1,weekday,6pm - 12am,6,643.6915139,0
76,1.08,0.355017527,SEDAN,3,F,D,2,petrol,108,99,gray,M,1,weekday,6am - 12pm,12,645.2459392,0
77,1.33,0.813033879,HBACK,2,M,C,1,petrol,104,78,black,M,1,weekday,12pm - 6pm,12,641.8665914,0
78,1.05,0.843445533,STNWG,4,M,C,2,petrol,178,99,gray,M,0,weekday,12pm - 6pm,12,640.8321817,0
79,0.76,0.729852227,STNWG,4,F,A,2,petrol,122,46,gray,S,0,weekend,6pm - 12am,12,661.2823409,0
80,5.27,0.082063176,STNWG,1,F,F,2,petrol,151,62,gray,M,1,weekday,6am - 12pm,12,665.0543088,0
81,0.71,0.425409931,HBACK,4,M,A,6,petrol,132,62,black,S,1,weekday,6am - 12pm,12,658.4450273,0
82,0.42,0.242126589,UTE,4,M,A,1,petrol,277,71,blue,S,1,weekday,12pm - 6pm,12,650.0559648,0
83,2.07,0.226309527,SEDAN,1,F,B,3,petrol,200,41,gray,M,1,weekend,6am - 12pm,6,656.4863554,0
84,1.16,0.16644301,SEDAN,3,M,A,6,hybrid,166,94,silver,S,0,weekday,6am - 12pm,6,640.6629786,0
85,2.55,0.086086231,UTE,3,F,D,2,dissel,233,51,red,M,1,weekday,12pm - 6pm,12,647.7947791,0
86,1.58,0.958395553,HBACK,3,F,C,2,petrol,110,71,silver,S,0,weekday,6pm - 12am,12,688.3142683,1
87,3.81,0.166034488,STNWG,2,M,B,3,hybrid,105,96,gray,M,0,weekday,12pm - 6pm,12,642.3793113,0
88,1.59,0.501318044,SEDAN,2,M,B,5,petrol,209,99,black,M,1,weekday,6am - 12pm,12,641.7015393,0
89,3.23,0.176385353,UTE,2,F,B,3,petrol,201,51,gray,M,1,weekday,12am - 6 am,6,642.00943,0
90,1.91,0.891248466,SEDAN,2,M,A,3,petrol,107,99,gray,M,0,weekday,6pm - 12am,12,652.5162767,0
91,1.49,0.105770004,HBACK,1,M,A,2,petrol,136,49,brown,S,1,weekday,12pm - 6pm,12,639.9885135,0
92,3.2,0.111239267,TRUCK,3,M,D,2,dissel,336,41,white,S,0,weekday,6am - 12pm,12,639.8654933,0
93,1.11,0.070655582,HBACK,4,F,A,2,petrol,144,51,white,M,1,weekday,12pm - 6pm,6,655.0859489,0
94,0.45,0.958868062,HBACK,4,F,E,2,petrol,104,65,white,M,0,weekday,6pm - 12am,12,639.9792955,1
95,2.51,0.96959344,UTE,3,M,A,2,dissel,275,97,white,M,0,weekend,12am - 6 am,12,641.3794838,1
96,0.56,0.303060361,HBACK,4,F,B,2,electric,100,59,black,M,0,weekday,12pm - 6pm,12,647.1159068,0
97,1.32,0.311896468,SEDAN,3,M,C,2,petrol,177,64,gray,M,1,weekday,12pm - 6pm,12,641.6855216,0
98,1.45,0.244828408,HBACK,1,M,C,2,petrol,81,88,gray,M,1,weekend,12pm - 6pm,12,651.7797643,0
99,1.25,0.709259769,SEDAN,3,F,C,3,petrol,122,88,silver,M,1,weekend,6am - 12pm,12,640.7878551,0
100,0.61,0.192641012,SEDAN,4,F,D,2,dissel,116,64,white,M,1,weekday,12pm - 6pm,6,649.7421007,0
101,1,0.953793232,SEDAN,4,M,B,2,dissel,178,83,black,M,0,weekend,6am - 12pm,12,638.2613747,1
102,5.73,0.664570622,SEDAN,1,F,A,3,petrol,199,58,red,M,1,weekday,12pm - 6pm,12,662.6708592,0
103,0.5,0.350608963,STNWG,4,F,B,4,dissel,184,73,white,S,0,weekday,6am - 12pm,12,654.8894095,0
104,0.86,0.255510334,HBACK,3,M,C,6,petrol,109,44,blue,S,1,weekday,12pm - 6pm,12,646.2030637,0
105,0.94,0.986731958,HBACK,3,F,D,6,electric,117,85,gray,M,0,weekday,12pm - 6pm,12,641.0261207,1
106,1.79,0.148802949,SEDAN,1,F,D,5,petrol,185,99,red,M,1,weekday,6am - 12pm,12,659.2323272,0
107,1.65,0.330686169,SEDAN,2,M,E,6,petrol,116,99,green,M,1,weekday,6am - 12pm,6,656.6863205,0
108,2.6,0.194488769,STNWG,4,M,C,3,petrol,125,41,yellow,M,0,weekday,6am - 12pm,12,646.3285452,0
109,1.26,0.487192107,SEDAN,4,F,A,4,petrol,148,58,black,S,0,weekday,6am - 12pm,6,643.2442056,1
110,0.32,0.984345947,SEDAN,4,F,A,1,petrol,124,58,silver,S,1,weekday,12pm - 6pm,12,654.6465647,1
111,1.68,0.404157539,SEDAN,2,F,A,5,dissel,140,89,yellow,S,1,weekday,6am - 12pm,6,645.017851,0
112,0.93,0.149595504,HBACK,3,M,D,5,electric,94,65,blue,M,1,weekday,12pm - 6pm,6,642.6159051,0
113,2.79,0.36127862,STNWG,3,M,E,2,petrol,184,81,black,M,1,weekday,6pm - 12am,6,656.567258,0
114,4.61,0.812954819,STNWG,3,F,B,5,petrol,180,54,silver,S,1,weekday,12pm - 6pm,12,655.9659865,0
115,2.28,0.121525636,SEDAN,3,F,C,2,petrol,122,58,silver,S,1,weekday,12pm - 6pm,12,653.0751532,0
116,2.72,0.319829543,HDTOP,1,M,A,4,electric,271,95,yellow,M,0,weekday,6am - 12pm,12,652.7403333,0
117,0.75,0.43408508,SEDAN,4,F,C,2,petrol,113,91,white,S,0,weekend,12am - 6 am,12,644.4059807,0
118,1.33,0.736202772,HBACK,2,F,D,1,petrol,101,98,black,S,1,weekday,6am - 12pm,12,646.8671129,0
119,1.94,0.139209195,STNWG,4,M,F,2,dissel,116,44,white,S,0,weekday,12pm - 6pm,6,646.7915061,0
120,5.13,0.473249196,STNWG,1,F,F,6,petrol,165,60,black,S,1,weekday,6am - 12pm,6,649.171182,1
121,4.51,0.60028013,UTE,1,M,F,2,petrol,267,39,white,M,1,weekday,12pm - 6pm,12,659.2825138,0
122,2.72,0.994340829,STNWG,3,M,D,4,electric,123,45,white,M,1,weekday,6am - 12pm,12,658.9695993,1
123,3.34,0.169267445,STNWG,3,M,D,4,dissel,148,99,gray,M,1,weekday,6am - 12pm,12,669.6873802,0
124,1.83,0.622408367,SEDAN,1,F,A,4,petrol,179,77,gray,S,1,weekday,12pm - 6pm,12,640.254583,0
125,1.86,0.107564654,UTE,3,F,E,4,petrol,227,77,black,M,1,weekday,6am - 12pm,12,647.2092031,0
126,0.78,0.458171821,SEDAN,4,F,C,4,electric,174,75,black,S,1,weekday,12pm - 6pm,12,627.1788759,0
127,0.81,0.521811908,HBACK,3,F,B,4,petrol,78,41,white,M,1,weekday,6am - 12pm,12,644.8363431,0
128,0.97,0.963672965,PANVN,3,M,C,5,dissel,110,77,gray,M,0,weekday,6am - 12pm,12,644.2009724,1
129,3.42,0.677530836,STNWG,2,F,F,2,electric,148,69,black,M,1,weekend,12pm - 6pm,12,640.1709619,0
130,4.69,0.215237823,STNWG,1,F,C,2,dissel,175,54,brown,S,1,weekday,12pm - 6pm,6,648.8512726,0
131,0.98,0.804389725,SEDAN,4,M,A,6,petrol,197,62,brown,M,0,weekday,6am - 12pm,12,639.9935085,0
132,1.29,0.707332894,STNWG,4,F,E,3,dissel,181,65,gray,S,0,weekday,12pm - 6pm,12,650.2971999,0
133,1.09,0.417191285,HBACK,3,F,A,3,petrol,112,56,gray,S,0,weekday,6am - 12pm,12,648.30253,0
134,1.35,0.235331766,SEDAN,2,F,C,2,dissel,160,84,brown,S,1,weekday,6am - 12pm,12,642.6064363,0
135,2.11,0.175976983,SEDAN,1,M,D,1,hybrid,193,55,white,S,1,weekday,6am - 12pm,12,644.1513657,0
136,1.87,0.566713655,HBACK,2,F,A,4,petrol,93,77,black,M,1,weekday,6pm - 12am,12,651.7528206,0
137,1.45,0.632324161,HBACK,1,M,A,2,petrol,143,90,gray,S,1,weekday,6am - 12pm,12,640.0380758,0
138,1.5,0.211794763,HBACK,3,M,A,1,petrol,101,99,green,M,1,weekday,6am - 12pm,6,657.0014797,0
139,1.44,0.805056436,HBACK,1,M,A,6,petrol,94,26,blue,M,1,weekday,6am - 12pm,12,643.5678113,0
140,1.72,0.68776069,SEDAN,1,M,D,5,electric,164,78,silver,M,0,weekday,12am - 6 am,12,660.8016771,0
141,1.66,0.137957805,SEDAN,2,F,B,5,petrol,125,83,black,M,1,weekday,6am - 12pm,12,682.4691009,0
142,1.11,0.991748112,SEDAN,3,F,A,2,petrol,112,69,brown,S,1,weekend,12pm - 6pm,12,648.3510082,1
143,0.54,0.150919882,HBACK,4,M,A,6,hybrid,85,88,white,M,1,weekday,6am - 12pm,6,639.6058794,0
144,1.38,0.192907286,HBACK,2,M,A,5,dissel,127,99,white,S,1,weekday,6am - 12pm,12,646.5190032,0
145,1.35,0.599714369,STNWG,3,M,E,2,hybrid,160,68,red,M,1,weekday,12am - 6 am,12,644.3261348,0
146,1.37,0.750238127,STNWG,3,F,E,4,dissel,145,81,blue,M,1,weekday,12pm - 6pm,12,642.5678883,0
147,3.82,0.188932143,UTE,2,M,E,4,dissel,211,74,brown,S,1,weekend,12pm - 6pm,12,647.3490878,0
148,1.19,0.249330998,STNWG,4,F,D,5,petrol,151,46,white,S,1,weekday,6am - 12pm,12,646.1163516,0
149,2.2,0.415780364,HDTOP,3,M,D,4,dissel,250,54,gray,S,0,weekday,6am - 12pm,6,633.0488814,0
150,3.42,0.150511376,STNWG,1,F,A,6,petrol,184,78,gray,M,1,weekday,12pm - 6pm,12,648.7452534,0
151,0.97,0.447545339,HBACK,3,F,D,3,petrol,99,81,green,S,1,weekend,6am - 12pm,12,657.3850115,0
152,2.54,0.471425818,SEDAN,3,F,B,3,petrol,175,80,red,S,1,weekday,6pm - 12am,12,664.4231911,0
153,4.56,0.162636822,TRUCK,1,M,E,5,petrol,326,69,green,S,1,weekday,12am - 6 am,12,638.9247521,0
154,1.03,0.549415555,HBACK,3,M,C,4,petrol,120,61,silver,S,1,weekday,12pm - 6pm,12,643.5391321,0
155,1.72,0.48552553,SEDAN,2,F,B,4,petrol,108,82,white,S,1,weekday,6am - 12pm,12,646.8857757,0
156,3.62,0.442869062,STNWG,3,M,F,3,petrol,131,41,yellow,M,1,weekday,6am - 12pm,6,640.2195002,1
157,0.75,0.274393633,HBACK,4,F,A,1,petrol,90,97,blue,M,1,weekend,12pm - 6pm,6,645.2078324,0
158,3.47,0.41130058,UTE,2,M,B,2,hybrid,187,70,white,S,1,weekday,6pm - 12am,12,642.294426,0
159,4.46,0.448850932,SEDAN,4,M,C,4,petrol,199,81,gray,M,1,weekday,6am - 12pm,12,642.1368563,0
160,1.34,0.900755725,HBACK,2,F,C,1,petrol,72,82,black,S,1,weekend,12pm - 6pm,12,648.2474901,1
161,1.48,0.509407193,HBACK,2,F,C,1,petrol,134,99,black,M,1,weekday,6am - 12pm,12,643.1137357,0
162,2.04,0.666058937,SEDAN,1,M,C,3,hybrid,110,80,gray,M,1,weekend,6pm - 12am,12,689.830696,0
163,1.46,0.655341779,HBACK,2,F,B,2,petrol,114,59,gray,M,0,weekday,6pm - 12am,12,645.8810254,0
164,3.03,0.345574879,STNWG,3,F,C,3,dissel,122,59,black,S,1,weekday,12pm - 6pm,12,646.1198914,0
165,7.72,0.271422805,STNWG,1,M,A,1,dissel,201,92,gray,M,1,weekday,6am - 12pm,6,643.1501289,0
166,0.46,0.821515851,STNWG,4,M,A,6,petrol,107,96,blue,M,1,weekend,6pm - 12am,12,650.5014972,0
167,2.02,0.866448317,STNWG,4,M,F,2,petrol,196,88,silver,M,0,weekday,6pm - 12am,12,658.3230324,0
168,0.85,0.693446691,HBACK,3,M,C,2,petrol,86,75,brown,M,0,weekday,12pm - 6pm,12,671.94642,0
169,3.12,0.347384402,STNWG,2,F,B,2,petrol,129,82,black,M,1,weekday,12pm - 6pm,12,641.5640924,0
170,2.3,0.977523048,HDTOP,2,F,F,2,petrol,264,22,gray,M,1,weekday,12pm - 6pm,12,650.8952401,1
171,1.6,0.584807832,HBACK,1,M,C,4,petrol,136,53,gray,M,1,weekday,12am - 6 am,12,644.4013577,0
172,3.26,0.298616943,UTE,2,M,D,3,petrol,166,99,gray,S,1,weekday,12pm - 6pm,12,652.6844836,0
173,0.59,0.080199047,STNWG,4,M,C,2,petrol,138,60,white,S,0,weekday,6am - 12pm,6,647.2349607,0
174,0.44,0.119685858,HBACK,4,F,B,1,petrol,129,92,gray,S,1,weekday,6pm - 12am,12,643.3625204,0
175,1.38,0.728658171,STNWG,4,M,B,3,dissel,109,81,white,S,1,weekday,12pm - 6pm,12,641.6385312,0
176,1.38,0.482135014,HBACK,1,F,D,6,electric,127,97,black,M,1,weekday,6am - 12pm,6,649.5903719,1
177,4.13,0.380724949,STNWG,2,F,C,3,petrol,143,64,red,M,1,weekend,6am - 12pm,12,656.2781408,0
178,1.8,0.275321507,SEDAN,2,F,C,2,petrol,115,77,white,M,1,weekday,6am - 12pm,12,636.7327131,0
179,1.82,0.489526005,STNWG,4,M,D,3,dissel,143,72,white,M,0,weekday,12pm - 6pm,6,662.7517281,1
180,3.39,0.55191777,STNWG,1,M,C,4,petrol,138,62,brown,S,1,weekday,6pm - 12am,12,686.2981488,0
181,2.36,0.247712693,STNWG,3,F,C,4,dissel,113,89,gray,M,1,weekday,6am - 12pm,12,647.6639662,0
182,2.07,0.59846297,SEDAN,1,M,B,5,petrol,160,91,black,M,0,weekday,12pm - 6pm,12,645.6060525,0
183,3.69,0.768389906,STNWG,3,M,A,3,petrol,156,83,black,S,1,weekday,12pm - 6pm,12,651.4519916,0
184,0.49,0.688703359,HBACK,4,F,C,6,petrol,100,73,gray,M,0,weekday,6am - 12pm,12,691.2329161,0
185,0.8,0.140318266,SEDAN,4,F,B,1,petrol,158,91,green,M,0,weekday,6am - 12pm,6,639.2992372,0
186,1.86,0.916951636,SEDAN,2,M,E,5,petrol,160,68,gray,S,1,weekday,6am - 12pm,12,657.7906264,1
187,1.87,0.608480448,SEDAN,2,M,E,4,petrol,164,54,silver,M,0,weekday,6pm - 12am,12,639.5207049,0
188,1.64,0.17682305,HBACK,1,M,A,2,hybrid,98,99,gray,M,1,weekday,6am - 12pm,6,638.3822246,0
189,0.37,0.204413396,HBACK,4,F,C,4,petrol,89,53,yellow,M,1,weekday,12pm - 6pm,12,644.0034903,0
190,1.78,0.234670918,HBACK,2,F,A,4,petrol,157,96,white,S,1,weekday,6am - 12pm,12,636.203583,0
191,1.77,0.784104237,SEDAN,2,M,B,3,electric,165,74,gray,S,1,weekday,12pm - 6pm,12,649.9233903,0
192,1.74,0.848656098,UTE,2,F,B,3,petrol,279,68,black,M,1,weekday,6am - 12pm,12,657.6229064,1
193,1.05,0.39566855,HBACK,2,F,A,5,petrol,85,71,white,S,1,weekday,6am - 12pm,12,645.8788658,0
194,1.71,0.84560619,TRUCK,3,M,A,2,dissel,397,58,gray,S,1,weekday,12pm - 6pm,12,650.5974276,0
195,1.12,0.976590853,HBACK,4,F,C,4,petrol,81,47,yellow,M,1,weekday,12pm - 6pm,12,641.9134974,1
196,1.79,0.423760031,SEDAN,2,M,A,4,petrol,105,36,black,M,1,weekday,12pm - 6pm,12,656.2680464,0
197,3.43,0.975213172,STNWG,1,F,A,4,petrol,101,93,black,M,1,weekday,12pm - 6pm,12,653.4414941,1
198,0.41,0.090150408,TRUCK,4,M,C,5,dissel,394,62,black,S,0,weekday,12pm - 6pm,12,650.4528896,0
199,0.75,0.640450473,HBACK,3,F,D,4,petrol,135,99,gray,S,1,weekday,6am - 12pm,12,667.0504451,0
200,1.32,0.178359917,HBACK,3,F,C,6,petrol,91,99,red,S,1,weekday,12pm - 6pm,12,650.6398903,0
201,0.68,0.570832362,HBACK,4,M,C,2,petrol,105,47,gray,S,0,weekday,6pm - 12am,12,641.2840374,0
202,6.12,0.897532662,STNWG,2,F,A,4,dissel,123,42,blue,M,1,weekday,6am - 12pm,12,639.5977866,0
203,1.89,0.479113887,STNWG,2,F,C,3,petrol,179,44,silver,S,1,weekend,6pm - 12am,12,663.4873398,0
204,1.01,0.502335399,SEDAN,3,F,C,4,petrol,133,86,red,S,0,weekday,6am - 12pm,12,666.3895211,0
205,0.51,0.577795074,HBACK,4,F,C,3,dissel,118,68,blue,M,1,weekday,6pm - 12am,12,646.8050361,0
206,1.4,0.283582341,HBACK,1,F,B,3,hybrid,102,54,white,S,0,weekday,6pm - 12am,12,646.3900877,0
207,2.18,0.453352602,SEDAN,2,M,A,3,petrol,135,46,black,S,0,weekend,12pm - 6pm,12,645.8099847,0
208,1.27,0.477903379,STNWG,3,M,B,6,petrol,186,47,white,M,1,weekday,6am - 12pm,12,642.7744174,0
209,3.17,0.689761716,STNWG,2,M,C,2,hybrid,194,87,black,M,1,weekday,6am - 12pm,12,643.0487997,0
210,1.97,0.803431232,HBACK,2,F,A,3,petrol,124,52,silver,S,1,weekday,12pm - 6pm,12,648.6540821,0
211,1.41,0.781964384,HBACK,1,F,B,3,hybrid,155,89,gray,S,1,weekday,12pm - 6pm,12,683.637052,0
212,1.29,0.103847805,HBACK,1,F,C,4,petrol,85,78,blue,S,1,weekend,6am - 12pm,12,685.0709473,0
213,2.64,0.583215869,STNWG,3,M,F,3,petrol,177,48,gray,M,1,weekend,12pm - 6pm,12,646.3238274,0
214,1.31,0.969507425,SEDAN,3,F,D,6,petrol,187,98,white,S,1,weekday,12pm - 6pm,12,648.9596474,1
215,1.84,0.490215677,HBACK,3,F,C,5,petrol,73,77,black,M,1,weekday,6am - 12pm,6,643.7087662,1
216,3.01,0.245151615,STNWG,2,F,F,2,hybrid,109,77,blue,M,1,weekday,6am - 12pm,12,643.5161824,0
217,0.79,0.894989997,HBACK,3,F,C,4,petrol,135,86,yellow,M,1,weekday,6am - 12pm,12,644.6175875,0
218,0.94,0.24357832,SEDAN,4,M,B,2,petrol,188,55,black,M,1,weekday,12pm - 6pm,12,649.3712879,0
219,0.55,0.500716825,SEDAN,4,M,C,3,petrol,184,46,gray,M,1,weekday,12pm - 6pm,12,645.0068693,0
220,0.8,0.07232996,HBACK,4,F,A,4,petrol,128,67,gray,S,1,weekday,6am - 12pm,6,647.7359759,0
221,1.51,0.238050765,SEDAN,2,F,C,2,petrol,173,91,brown,M,1,weekday,12pm - 6pm,12,653.3028181,0
222,1.22,0.619620306,SEDAN,3,F,A,5,petrol,106,90,white,S,1,weekday,12pm - 6pm,12,637.7716469,0
